name,year,year_period,continent,country,mass_cleaned,mass_bin,recclass_clean,reclat,reclong
Aachen,1880.0,19th Century,Europe,Belgium,21.0,10-100g,L5,50.775,6.08333
Aarhus,1951.0,20th Century,Europe,Denmark,720.0,100-1kg,H6,56.18333,10.23333
Abee,1952.0,20th Century,North America,Canada,50369.99999999971,>10kg,H4,54.21667,-113.0
Acapulco,1976.0,20th Century,North America,Mexico,1914.0,1-10kg,L-OTHER,16.88333,-99.9
Achiras,1902.0,20th Century,South America,Argentina,780.0,100-1kg,L6,-33.16667,-64.95
Adhi Kot,1919.0,20th Century,Asia,Pakistan,4239.0,1-10kg,H4,32.1,71.8
Adzhi-Bogdo (stone),1949.0,20th Century,Asia,Mongolia,910.0,100-1kg,L-OTHER,44.83333,95.16667
Agen,1814.0,19th Century,Europe,France,30000.0,>10kg,H5,44.21667,0.61667
Aguada,1930.0,20th Century,South America,Argentina,1620.0,1-10kg,L6,-31.6,-65.23333
Aguila Blanca,1920.0,20th Century,South America,Argentina,1440.0,1-10kg,L-OTHER,-30.86667,-64.55
Aioun el Atrouss,1974.0,20th Century,Africa,Mauritania,1000.0,100-1kg,OTHER,16.39806,-9.57028
Aïr,1925.0,20th Century,Africa,Niger,24000.0,>10kg,L6,19.08333,8.38333
Aire-sur-la-Lys,1769.0,Ancient,Europe,France,32.6,10-100g,OTHER,50.66667,2.33333
Akaba,1949.0,20th Century,Asia,Jordan,779.0,100-1kg,L6,29.51667,35.05
Akbarpur,1838.0,19th Century,Asia,India,1800.0,1-10kg,H4,29.71667,77.95
Akwanga,1959.0,20th Century,Africa,Nigeria,3000.0,1-10kg,H-OTHER,8.91667,8.43333
Akyumak,1981.0,20th Century,Asia,Turkey,50000.0,>10kg,IRON,39.91667,42.81667
Al Rais,1957.0,20th Century,Asia,Saudi Arabia,160.0,100-1kg,CARBONACEOUS,24.41667,39.51667
Al Zarnkh,2001.0,21st Century,Africa,Sudan,700.0,100-1kg,L5,13.66033,28.96
Alais,1806.0,19th Century,Europe,France,6000.0,1-10kg,CARBONACEOUS,44.11667,4.08333
Albareto,1766.0,Ancient,Europe,Italy,2000.0,1-10kg,L-OTHER,44.65,11.01667
Alberta,1949.0,20th Century,Africa,Democratic Republic of the Congo,625.0,100-1kg,L-OTHER,2.0,22.66667
Alby sur Chéran,2002.0,21st Century,Europe,France,252.0,100-1kg,OTHER,45.82133,6.01533
Aldsworth,1835.0,19th Century,Europe,United Kingdom,700.0,100-1kg,L5,51.78333,-1.78333
Aleppo,1873.0,19th Century,Asia,Syria,3200.0,1-10kg,L6,36.23333,37.13333
Alessandria,1860.0,19th Century,Europe,Italy,908.0,100-1kg,H5,44.88333,8.75
Alexandrovsky,1900.0,20th Century,Europe,Ukraine,9251.0,1-10kg,H4,50.95,31.81667
Alfianello,1883.0,19th Century,Europe,Italy,50369.99999999971,>10kg,L6,45.26667,10.15
Allegan,1899.0,19th Century,North America,United States of America,32000.0,>10kg,H5,42.53333,-85.88333
Allende,1969.0,20th Century,North America,Mexico,50369.99999999971,>10kg,CARBONACEOUS,26.96667,-105.31667
Almahata Sitta,2008.0,21st Century,Africa,Sudan,3950.0,1-10kg,L-OTHER,20.74575,32.41275
Alta'ameem,1977.0,20th Century,Asia,Iraq,6000.0,1-10kg,L5,35.27333,44.21556
Ambapur Nagla,1895.0,19th Century,Asia,India,6400.0,1-10kg,H5,27.66667,78.25
Andhara,1880.0,19th Century,Asia,India,2700.0,1-10kg,L-OTHER,26.58333,85.56667
Andover,1898.0,19th Century,North America,United States of America,3200.0,1-10kg,L6,44.61667,-70.75
Andreevka,1969.0,20th Century,Europe,Ukraine,600.0,100-1kg,L-OTHER,48.7,37.5
Andura,1939.0,20th Century,Asia,India,17900.0,>10kg,H6,20.88333,76.86667
Angers,1822.0,19th Century,Europe,France,32.6,10-100g,L6,47.46667,-0.55
Angra dos Reis (stone),1869.0,19th Century,South America,Brazil,1500.0,1-10kg,OTHER,-22.96667,-44.31667
Ankober,1942.0,20th Century,Africa,Ethiopia,6500.0,1-10kg,H4,9.53333,39.71667
Anlong,1971.0,20th Century,Asia,China,2500.0,1-10kg,H5,25.15,105.18333
Aomori,1984.0,20th Century,Asia,Japan,320.0,100-1kg,L6,40.81056,140.78556
Appley Bridge,1914.0,20th Century,Europe,United Kingdom,15000.0,>10kg,L6,53.58333,-2.71667
Apt,1803.0,19th Century,Europe,France,3200.0,1-10kg,L6,43.86667,5.38333
Arbol Solo,1954.0,20th Century,South America,Argentina,810.0,100-1kg,H5,-33.0,-66.0
Archie,1932.0,20th Century,North America,United States of America,5070.0,1-10kg,H6,38.5,-94.3
Arroyo Aguiar,1950.0,20th Century,South America,Argentina,7450.0,1-10kg,H5,-31.41667,-60.66667
Asco,1805.0,19th Century,Europe,France,41.0,10-100g,H6,42.45,9.03333
Ash Creek,2009.0,21st Century,North America,United States of America,9500.0,1-10kg,L6,31.805,-97.01
Ashdon,1923.0,20th Century,Europe,United Kingdom,1300.0,1-10kg,L6,52.05,0.3
Assisi,1886.0,19th Century,Europe,Italy,2000.0,1-10kg,H5,43.03333,12.55
Atarra,1920.0,20th Century,Asia,India,1280.0,1-10kg,L-OTHER,25.25417,80.625
