year_period_19th Century,year_period_20th Century,year_period_21st Century,year_period_Ancient,mass_bin_1-10g,mass_bin_1-10kg,mass_bin_10-100g,mass_bin_100-1kg,mass_bin_<1g,mass_bin_>10kg,continent_Africa,continent_Antarctica,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,recclass_clean
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,L3
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,H5
False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,OTHER
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,H6
True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,IRON
False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,L4
False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,L4
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,H4
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,OTHER
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,H5
False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,OTHER
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,L3
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,H4
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,CARBONACEOUS
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,L4
False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,L4
False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,H6
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,H3
False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,H5
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,H5
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,H4
False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,ACHONDRITE
False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,H4
False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,L4
False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,IRON
True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,H5
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,H6
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,OTHER
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,H6
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,L3
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,H4
False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,H5
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,L3
False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,OTHER
False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,H6
False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,H6
False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,H5
False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,L5
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,H4
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,L3
False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,L6
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,H5
True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,IRON
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,CARBONACEOUS
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,L5
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,H4
False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,L5
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,H4
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,H3
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,L6
False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,L5
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,H4
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,CARBONACEOUS
False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,OTHER
False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,L4
True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,ACHONDRITE
False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,L5
False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,L5
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,L4
False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,L4
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,H4
False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,L6
False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,ACHONDRITE
False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,OTHER
False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,ACHONDRITE
False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,IRON
False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,L6
False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,ACHONDRITE
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,L5
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,L5
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,H6
False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,H6
False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,CARBONACEOUS
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,L3
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,ACHONDRITE
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,H3
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,H5
False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,H3
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,OTHER
False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,L5
False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,L5
